术语中心词	知识量	状态	责任人
脏器游走	0		
脏器扭转	0		
器官/组织异位	0		
粘连	0		
组织线性破坏	0		
骨折	0		
瘘	0		
破裂	0		
穿孔	0		
组织片性破坏	0		
糜烂	0		
溃疡	0		
软组织挫伤	0		
组织严重破坏	0		
损毁	0		
坏死、坏疽	0		
后天性缺失	0		
离断	0		
渗出性	0		
积液	0		
积气	0		
渗出	0		
水肿	0		
乳糜	0		
增生性	0		
组织发育	0		
瘢痕/胼胝	0		
胼胝	0		
新生物/肿物	0		
恶性肿瘤	0		
癌	0		
肉瘤	0		
实性肿物	0		
囊性肿物	0		
交界性病变	0		
转移性肿瘤	0		
血管特异性异常	0		
皮肤特异性异常	0		
无菌性炎症	0		
遗传病	0		
系统结构	0		
器官结构	0		
细胞结构	0		
外因	0		
感染	0		
细菌感染	0		
病毒感染	0		
真菌感染	0		
其他病原	0		
蠕虫感染	0		
外来伤害	0		
异物存留	0		
精神和行为	0		
妊娠/分娩	0		
能力障碍	0		
异常	0		
手术	0		
麻醉	0		
介入性操作	0		
医疗活动	0		
症状/体征	0		
疼痛	0		
感觉不适	0		
发热	0		
意识障碍	0		
死亡	0		
黄疸	0		
异响	0		
其他症状/体征	0		
其他	0		
多因素	0		
未确定因素	0		
中医	0		
供血不全	0		
溶血	0		
烧伤	0		
中毒	0		
滥用及成瘾	0		
鳞癌	0		
腺癌	0		
未分化癌	0		
其他癌	0		
动脉粥样硬化	0		
静脉曲张	0		
动脉血栓	0		
出血	0		
血肿	0		
紫癜	0		
动静脉瘘	0		
动脉瘤	0		
动脉夹层	0		
良性肿物	0		
息肉	0		
炎性假瘤	0		
动脉狭窄	0		
静脉回流障碍	0		
平滑肌瘤	0		
纤维瘤	0		
原位癌	0		
腺瘤	0		
脂肪瘤	0		
钝性伤害	0		
碾挫伤	0		
挫伤	0		
锐性伤害	0		
切割伤	0		
刺伤	0		
咬伤	0		
动脉性病变	0		
动脉炎	0		
静脉性病变	0		
神经特异性异常	0		
麻痹	0		
神经炎	0		
外伤	0		
质地	0		
囊肿	0		
囊实性肿物	0		
挫裂伤	0		
动脉闭塞	0		
动脉供血不足	0		
骨折类型	0		
线性	0		
螺旋形	0		
粉碎性	0		
青枝性	0		
嵌插性	0		
动脉扩张	0		
压缩性	0		
血管瘤	0		
血管瘤	0		
陈旧性	0		
DNA病毒	0		
DNA和RNA逆转录病毒	0		
RNA病毒	0		
球菌	0		
葡萄球菌	0		
链球菌	0		
肺炎链球菌	0		
溶血性链球菌	0		
奈瑟菌	0		
肠道杆菌	0		
埃希菌	0		
志贺菌	0		
沙门菌	0		
杆菌	0		
变形杆菌	0		
螺形菌	0		
弧菌	0		
霍乱弧菌	0		
副溶血性弧菌	0		
螺杆菌	0		
幽门螺杆菌	0		
弯曲菌	0		
空肠弯曲菌	0		
厌氧性细菌	0		
厌氧芽孢梭菌	0		
破伤风梭菌	0		
肉毒梭菌	0		
艰难梭菌	0		
无芽孢厌氧菌	0		
动物源性细菌	0		
耶尔森菌	0		
鼠疫耶尔森菌	0		
小肠结肠炎耶尔森菌	0		
假结核耶尔森菌	0		
芽孢杆菌	0		
炭疽芽孢杆菌	0		
蜡样芽孢杆菌	0		
棒状杆菌	0		
白喉棒状杆菌	0		
分枝杆菌	0		
麻风分枝杆菌	0		
非结核分枝杆菌	0		
放线菌	0		
其他致病性细菌	0		
假单胞菌	0		
嗜血杆菌	0		
流感嗜血杆菌	0		
鲍特菌	0		
百日咳鲍特菌	0		
支气管败血鲍特杆菌	0		
副百日咳鲍特杆菌	0		
加特纳菌	0		
阴道加特纳菌	0		
衣原体感染	0		
立克次体感染	0		
螺旋体感染	0		
原虫感染	0		
扁形动物门	0		
线形动物门	0		
棘头动物门	0		
节肢动物	0		
双链DNA病毒	0		
痘病毒科	0		
疱疹病毒科	0		
腺病毒科	0		
乳头瘤病毒科	0		
EB病毒	0		
巨细胞病毒	0		
其他外伤	0		
开放性	0		
闭合性	0		
爆震伤	0		
减压伤	0		
摔伤/坠落伤	0		
减速伤	0		
砸伤/棍击伤	0		
烫伤	0		
药物中毒	0		
刀伤	0		
碱性烧伤	0		
酸性烧伤	0		
生物中毒	0		
植物中毒	0		
其他生物中毒	0		
物理性伤害	0		
撕脱伤	0		
多发伤	0		
结石	0		
医源性	0		
磁性物	0		
伤口类型	0		
清洁性	0		
污染性	0		
震荡伤	0		
车祸伤	0		
挤压伤	0		
深静脉炎	0		
病原学	0		
朊病毒	0		
感染病情	0		
炎症	0		
脓肿	0		
菌血症	0		
病理性	0		
骨折病情	0		
错构瘤	0		
单链DNA病毒	0		
人细小病毒B19	0		
动脉损伤	0		
静脉扩张	0		
术后并发症	0		
吻合口狭窄	0		
吻合口瘘	0		
曲霉菌	0		
白色念珠菌	0		
伤寒杆菌	0		
C群沙门菌	0		
B群沙门菌	0		
猪霍乱沙门菌	0		
鼠伤寒沙门菌	0		
阿哥拉沙门菌	0		
D族链球菌	0		
肠道病毒71型	0		
性质	0		
程度	0		
一度	0		
二度	0		
三度	0		
弓形虫	0		
美洲锥虫	0		
流感病毒	0		
甲型流感病毒	0		
乙型流感病毒	0		
丙型流感病毒	0		
柯萨奇病毒	0		
梅毒螺旋体	0		
水痘-带状疱疹病毒	0		
副粘病毒科	0		
腮腺炎病毒	0		
麻疹病毒	0		
粪肠球菌	0		
表皮葡萄球菌	0		
金黄色葡萄球菌	0		
血管痉挛	0		
假性动脉瘤	0		
静脉闭塞	0		
血管畸形	0		
疟原虫	0		
血吸虫	0		
软组织感染	0		
裂伤	0		
动脉溃疡	0		
扭伤	0		
阴沟肠杆菌	0		
屎肠球菌	0		
蜂窝织炎	0		
静脉损伤	0		
擦伤	0		
副流感病毒	0		
酵母菌属	0		
热带假丝酵母菌	0		
白色假丝酵母菌	0		
重金属中毒	0		
有机溶剂中毒	0		
动物中毒	0		
静脉瘤	0		
脉管炎	0		
静脉栓塞	0		
静脉狭窄	0		
动脉瘘	0		
动脉硬化	0		
动脉钙化	0		
多发性	0		
血管钙化	0		
中枢神经系统出血	0		
硬膜下出血	0		
硬膜外出血	0		
蛛网膜下腔出血	0		
化脓性	0		
滴虫	0		
电击伤	0		
皮下淤血	0		
陈旧性	0		
沙门菌伦敦血清型	0		
都柏林沙门菌	0		
亚利桑那沙门氏杆菌	0		
鸟-胞内复合分枝杆菌	0		
堪萨斯分枝杆菌	0		
瘰疬分枝杆菌	0		
海分枝杆菌	0		
溃疡分枝杆菌	0		
偶发分枝杆菌	0		
龟分枝杆菌	0		
脓肿分枝杆菌	0		
非洲锥虫	0		
巴贝虫原虫	0		
梨浆虫亚纲	0		
棘阿米巴	0		
绦虫纲	0		
旋毛虫	0		
丝虫	0		
麦地那龙线虫	0		
钩虫	0		
巴斯德氏菌	0		
猪链球菌	0		
猿猴分枝杆菌	0		
土地分枝杆菌	0		
非典型分枝杆菌	0		
李斯特菌	0		
致病性大肠杆菌	0		
肠毒性大肠杆菌	0		
肠侵袭性大肠杆菌	0		
肠出血性大肠杆菌	0		
肠粘附性大肠杆菌	0		
粘球杆菌	0		
不动杆菌	0		
醋酸钙不动杆菌	0		
鲁菲不动杆菌	0		
鲍曼不动杆菌	0		
溶血不动杆菌	0		
琼氏不动杆菌	0		
约翰逊不动杆菌	0		
抗辐射不动杆菌	0		
枯草杆菌	0		
伯克氏菌	0		
洋葱伯克氏菌	0		
鼻疽伯克氏菌	0		
类鼻疽伯克氏菌	0		
高分化鳞癌	0		
中分化鳞癌	0		
低分化鳞癌	0		
高分化腺癌	0		
中分化腺癌	0		
低分化腺癌	0		
腐生葡萄球菌	0		
诺沃克类病毒	0		
巴尔通体杆菌	0		
军团菌	0		
嗜肺军团菌	0		
麦氏军团菌	0		
杜氏军团菌	0		
鼻硬结杆菌	0		
产碱杆菌	0		
爱德华氏菌	0		
迟钝爱德华氏菌	0		
普鲁菲登菌	0		
沙雷氏菌	0		
雷极普鲁菲登菌	0		
斯氏普鲁菲登菌	0		
产碱普鲁菲登菌	0		
粘质沙雷氏菌	0		
苍白杆菌	0		
人苍白杆菌	0		
肠球菌	0		
鸟肠球菌	0		
坚韧球肠菌	0		
白蛉热病毒	0		
裂谷热病毒	0		
西尼罗病毒	0		
埃克病毒	0		
脊髓灰质炎病毒	0		
鹦鹉热衣原体	0		
附红细胞体	0		
嗜吞噬细胞无形体	0		
汉赛巴通体	0		
念珠菌	0		
风疹病毒	0		
粗球孢子菌	0		
荚膜组织胞浆菌	0		
孢子菌	0		
皮炎芽生菌	0		
溶血葡萄球菌	0		
人葡萄球菌	0		
副球孢子菌	0		
头葡萄球菌	0		
申克氏孢子丝菌	0		
黄热病毒	0		
毛霉菌	0		
合胞病毒	0		
类丹毒杆菌	0		
难辨梭状芽孢杆菌	0		
吡邻单胞菌	0		
嗜水气单胞菌	0		
坏死梭形杆菌	0		
沃氏葡萄球菌	0		
弗里德兰德氏杆菌	0		
气球菌	0		
人类单纯疱疹病毒	0		
卡氏肺孢子虫	0		
冠状病毒	0		
鼻病毒	0		
美洲组织胞浆菌	0		
非洲组织胞浆菌	0		
着色真菌	0		
暗色丝孢霉菌	0		
皮肤着色芽生菌	0		
隐球菌	0		
新型隐球菌	0		
冠状虫霉	0		
接合菌纲	0		
毛霉目	0		
虫霉目	0		
蛙粪霉菌	0		
鼻孢子菌	0		
波氏假霉样真菌	0		
念珠地丝菌	0		
青霉菌	0		
马尔尼菲青霉菌	0		
伊蒙菌	0		
硫酸化学伤	0		
亚硝酸化学伤	0		
盐酸化学伤	0		
酸性物质化学伤	0		
氢氧化钾化学伤	0		
炎性包块	0		
感染病程	0		
复发	0		
恢复期	0		
带菌	0		
骨折连接不正	0		
海绵状血管瘤	0		
毛细血管性血管瘤	0		
乳头状腺瘤	0		
海绵状血管瘤	0		
浅静脉炎	0		
神经良性肿物	0		
神经胶质瘤	0		
神经恶性肿瘤	0		
神经纤维瘤	0		
毛细血管性血管瘤	0		
神经鞘瘤	0		
神经纤维瘤	0		
神经肿物	0		
神经交界性肿瘤	0		
坂崎肠杆菌	0		
关节内骨折	0		
沙眼衣原体	0		
牛衣原体	0		
肝炎病毒	0		
甲型肝炎病毒	0		
乙型肝炎病毒	0		
丙型肝炎病毒	0		
丁型肝炎病毒	0		
戊型肝炎病毒	0		
庚型肝炎病毒	0		
神经损伤	0		
卡压	0		
神经粘连	0		
撕脱性	0		
腔内积血	0		
血肿机化	0		
神经根炎	0		
骨骺分离	0		
骨裂	0		
神经损伤后遗症	0		
部分离断	0		
完全离断	0		
唾液链球菌	0		
副伤寒杆菌	0		
有尾噬菌体目	0		
肌尾噬菌体科	0		
长尾噬菌体科	0		
短尾噬菌体科	0		
其他双链DNA病毒	0		
古噬菌体科	0		
复层噬菌体科	0		
覆盖噬菌体科	0		
脂毛噬菌体科	0		
微小纺锤形噬菌体科	0		
藻类DNA病毒科	0		
虹彩病毒科	0		
杆状病毒科	0		
多瘤病毒科	0		
多DNA病毒科	0		
囊泡病毒科	0		
细小病毒科	0		
环病毒科	0		
联体病毒科	0		
微小噬菌体科	0		
丝杆噬菌体科	0		
花椰菜花叶病毒科	0		
嗜肝DNA病毒科	0		
假病毒科	0		
转座病毒科	0		
双链RNA病毒	0		
囊状噬菌体科	0		
呼肠孤病毒科	0		
双RNA病毒科	0		
单组份双链RNA球状真菌病毒科	0		
减毒病毒科	0		
裸露RNA病毒科	0		
负单链RNA病毒	0		
单分子负链RNA病毒目	0		
弹状病毒科	0		
丝状病毒科	0		
博尔纳病毒科	0		
其他负单链RNA病毒	0		
正粘病毒科	0		
布尼亚病毒科	0		
沙拉病毒科	0		
正单链RNA病毒	0		
轻小噬菌体科	0		
套病毒目	0		
动脉炎病毒科	0		
冠状病毒科	0		
其他正单链RNA病毒	0		
欧防风黄点病毒科	0		
黄病毒科	0		
登革热病毒	0		
披膜病毒科	0		
乙型脑炎病毒	0		
圣路易脑炎病毒	0		
结肠小袋纤毛虫	0		
微小隐孢子虫	0		
肉孢子虫	0		
轮状病毒	0		
自发性	0		
骨折畸形愈合	0		
嗜麦芽窄食单胞菌	0		
单核增生李斯特菌	0		
潜伏期	0		
品他密螺旋体	0		
α疱疹病毒	0		
β疱疹病毒	0		
γ疱疹病毒	0		
汉坦病毒	0		
蕈样棒状杆菌	0		
开放性	0		
枸橼酸杆菌	0		
动脉瘤破裂	0		
动脉畸形	0		
静脉畸形	0		
动脉迂曲	0		
动脉畸形	0		
细动脉硬化症	0		
动脉痉挛	0		
静脉曲张破裂	0		
静脉瘤栓	0		
静脉硬化	0		
静脉石	0		
肺炎支原体	0		
辐射伤	0		
静脉畸形	0		
动脉缺失	0		
静脉缺失	0		
热挤压伤	0		
软组织损伤	0		
神经断裂	0		
闭合性	0		
一度冻伤	0		
二度冻伤	0		
三度冻伤	0		
四度冻伤	0		
雷击伤	0		
兹卡病毒	0		
接触暴露	0		
狂犬病毒	0		
利什曼原虫	0		
新型冠状病毒	0		
新型冠状病毒	0		
草绿色链球菌	0		
应力性	0		
支原体感染	0		
创伤性	0		
穿通伤	0		
动脉破裂	0		
劳损	0		
静脉破裂	0		
全身性	0		
冷伤	0		
职业性冻伤	0		
局部冻伤	0		
全身冷伤	0		
